"TOA5","CR300-10553","CR300","10553","CR300-CELL205.Std.10.04","CPU:Testbed_code_site_2.CR300","14107","Table_Acclima"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","Acclima_VWC_5_Avg","Acclima_Perm_5_Avg","Acclima_EC_5_Avg","Acclima_Temp_5_Avg","Acclima_VWC_20_Avg","Acclima_Perm_20_Avg","Acclima_EC_20_Avg","Acclima_Temp_20_Avg","Acclima_VWC_40_Avg","Acclima_Perm_40_Avg","Acclima_EC_40_Avg","Acclima_Temp_40_Avg"
"TS","RN","name","decdegrees","decdegrees","m","%","unitless","microS/cm","Deg c","%","unitless","microS/cm","Deg c","%","unitless","microS/cm","Deg c"
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-10-19 00:00:00",133,"Site 2",39.10245,-96.59987,335,25.7,13.8,140,9.7,28,15.3,221.7,13.43,31.8,17.87,409.3,14.6
"2022-10-19 01:00:00",134,"Site 2",39.10245,-96.59987,335,25.7,13.8,137.3,8.97,28,15.3,220.3,13.27,31.8,17.87,409.7,14.63
"2022-10-19 02:00:00",135,"Site 2",39.10245,-96.59987,335,25.7,13.8,135,8.23,28,15.3,219.3,13.07,31.8,17.87,409.3,14.6
"2022-10-19 03:00:00",136,"Site 2",39.10245,-96.59987,335,25.7,13.8,132.7,7.633,28,15.3,218,12.83,31.83,17.9,409,14.63
"2022-10-19 04:00:00",137,"Site 2",39.10245,-96.59987,335,25.63,13.8,130.3,7.067,28,15.3,216.3,12.63,31.83,17.93,409,14.57
"2022-10-19 05:00:00",138,"Site 2",39.10245,-96.59987,335,25.6,13.8,128.7,6.6,28,15.3,214.7,12.37,31.77,17.9,408.7,14.53
"2022-10-19 06:00:00",139,"Site 2",39.10245,-96.59987,335,25.6,13.8,126.7,6.133,28,15.3,213.3,12.13,31.73,17.9,407.7,14.5
"2022-10-19 07:00:00",140,"Site 2",39.10245,-96.59987,335,25.6,13.8,125.3,5.7,28,15.3,211.7,11.9,31.67,17.8,407,14.4
"2022-10-19 08:00:00",141,"Site 2",39.10245,-96.59987,335,25.6,13.8,123.7,5.4,28.03,15.3,210.3,11.67,31.77,17.83,406,14.37
"2022-10-19 09:00:00",142,"Site 2",39.10245,-96.59987,335,25.67,13.83,122.7,5.1,28,15.3,208.7,11.43,31.77,17.87,405.7,14.3
"2022-10-19 10:00:00",143,"Site 2",39.10245,-96.59987,335,25.97,14,121.7,5.1,28.1,15.3,206.7,11.2,31.73,17.9,404.3,14.17
"2022-10-19 11:00:00",144,"Site 2",39.10245,-96.59987,335,25.9,14,124.3,5.9,28.07,15.3,205.3,11,31.83,17.9,403,14.1
"2022-10-19 12:00:00",145,"Site 2",39.10245,-96.59987,335,25.9,14,129.7,7.6,28.1,15.3,204,10.77,31.77,17.87,402,14
"2022-10-19 13:00:00",146,"Site 2",39.10245,-96.59987,335,25.93,14,136.7,9.6,28.07,15.3,204,10.7,31.73,17.9,401.3,13.93
"2022-10-19 14:00:00",147,"Site 2",39.10245,-96.59987,335,26,14,144.3,11.8,28.03,15.3,204,10.67,31.67,17.8,400,13.83
"2022-10-19 15:00:00",148,"Site 2",39.10245,-96.59987,335,26,14,151,13.77,28.07,15.3,204.3,10.8,31.67,17.87,399,13.8
