"TOA5","CR300-23667","CR300","23667","CR300-CELL205.Std.10.02","CPU:Testbed_codeSeparateTables-NoDelay.CR300","57864","Table_SoilVue"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","SoilVue_VWC_5_Avg","SoilVue_Perm_5_Avg","SoilVue_Temp_5_Avg","SoilVue_EC_5_Avg","SoilVue_VWC_10_Avg","SoilVue_Perm_10_Avg","SoilVue_Temp_10_Avg","SoilVue_EC_10_Avg","SoilVue_VWC_20_Avg","SoilVue_Perm_20_Avg","SoilVue_Temp_20_Avg","SoilVue_EC_20_Avg","SoilVue_VWC_30_Avg","SoilVue_Perm_30_Avg","SoilVue_Temp_30_Avg","SoilVue_EC_30_Avg","SoilVue_VWC_40_Avg","SoilVue_Perm_40_Avg","SoilVue_Temp_40_Avg","SoilVue_EC_40_Avg","SoilVue_VWC_50_Avg","SoilVue_Perm_50_Avg","SoilVue_Temp_50_Avg","SoilVue_EC_50_Avg"
"TS","RN","name","decdegrees","decdegrees","m","m^3/m^3","unitless","Deg c","dS/m","m^3/m^3","unitless","Deg c","dS/m","m^3/m^3","unitless","Deg c","dS/m","m^3/m^3","unitless","Deg c","dS/m","m^3/m^3","unitless","Deg c","dS/m","m^3/m^3","unitless","Deg c","dS/m"
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-06-01 11:54:00",44,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.236,22.08,0.005,0,1.222,22.08,0.006,0,1.343,22.2,0.011,0,1.458,23.21,0.006,0,1.216,22.85,0.009,0,1.343,22.32,0.009
"2022-06-01 11:56:00",45,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.188,22.08,0.005,0,1.272,22.08,0.006,0,1.339,22.23,0.01,0,1.43,23.24,0.006,0,1.139,22.85,0.012,0,1.345,22.32,0.01
"2022-06-01 11:58:00",46,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.135,22.08,0.004,0,1.294,22.08,0.007,0,1.368,22.23,0.009,0,1.381,23.24,0.005,0,1.183,22.85,0.009,0,1.333,22.32,0.007
"2022-06-01 12:00:00",47,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.226,22.08,0.003,0,1.224,22.08,0.005,0,1.366,22.23,0.013,0,1.428,23.27,0.003,0,1.182,22.85,0.008,0,1.396,22.32,0.008
"2022-06-01 12:02:00",48,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.203,22.08,0.004,0,1.252,22.08,0.007,0,1.376,22.23,0.013,0,1.385,23.27,0.005,0,1.162,22.88,0.01,0,1.347,22.32,0.01
"2022-06-01 12:04:00",49,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.265,22.08,0.005,0,1.163,22.08,0.005,0,1.323,22.23,0.013,0,1.406,23.27,0.007,0,1.149,22.88,0.01,0,1.323,22.35,0.01
"2022-06-01 12:06:00",50,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.226,22.08,0.003,0,1.215,22.11,0.004,0,1.319,22.26,0.011,0,1.464,23.27,0.005,0,1.156,22.88,0.01,0,1.379,22.35,0.011
"2022-06-01 12:08:00",51,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.215,22.08,0.004,0,1.219,22.11,0.005,0,1.373,22.26,0.011,0,1.392,23.27,0.006,0,1.192,22.91,0.007,0,1.283,22.35,0.011
"2022-06-01 12:10:00",52,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.194,22.11,0.004,0,1.203,22.11,0.007,0,1.293,22.26,0.01,0,1.454,23.3,0.005,0,1.251,22.91,0.008,0,1.338,22.35,0.01
"2022-06-01 12:12:00",53,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.207,22.11,0.004,0,1.252,22.11,0.005,0,1.316,22.26,0.012,0,1.472,23.3,0.006,0,1.19,22.91,0.01,0,1.342,22.35,0.009
