"TOA5","CR300-23666","CR300","23666","CR300-CELL205.Std.10.02","CPU:Testbed_code_site_2.CR300","5761","Table_CS229"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","CS229_StartTemp_5_Avg","CS229_Temp_1sec_5_Avg","CS229_Temp_30sec_5_Avg","CS229_Delta_Temp_5_Avg","CS229_Delta_Tempcorr_5_Avg","CS229_Matric_P_5_Avg"
"TS","RN","name","decdegrees","decdegrees","m","","","","","",""
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-07-04 04:00:00",63,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-04 05:00:00",64,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-04 06:00:00",65,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-04 07:00:00",66,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-04 08:00:00",67,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-04 09:00:00",68,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-04 10:00:00",69,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-04 11:00:00",70,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-04 12:00:00",71,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-04 13:00:00",72,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-04 14:00:00",73,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-04 15:00:00",74,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-04 16:00:00",75,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-04 17:00:00",76,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-04 18:00:00",77,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-04 19:00:00",78,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-04 20:00:00",79,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-04 21:00:00",80,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-04 22:00:00",81,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-04 23:00:00",82,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-05 00:00:00",83,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-05 01:00:00",84,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-05 02:00:00",85,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-05 03:00:00",86,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-05 04:00:00",87,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-05 05:00:00",88,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
